#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2020-12-27 22:58:24 EST     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01593500 LITTLE PATUXENT RIVER AT GUILFORD, MD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01593500	44	1936-10-17 14:50:00	EST	Yes	LBP	USGS	2.38	51.4	Good	-0.06	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	51.4	30.0	42.6	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	45	1936-10-20 16:05:00	EST	Yes	LBP	USGS	1.81	12.9	Good	-0.01	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	12.9	28.5	27.4	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	46	1936-10-21 09:45:00	EST	Yes	LBP	USGS	1.80	12.3	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	12.3	28.5	27.4	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	47	1936-11-07 10:53:00	EST	Yes	LBP	USGS	1.80	13.0	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	13.0	28.0	25.2	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	48	1936-12-18 10:35:00	EST	Yes	LBP	USGS	2.24	36.2	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	36.2	31.2	34.8	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	49	1936-12-18 13:45:00	EST	Yes	LBP	USGS	2.22	34.3	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	34.3	17.5	27.5	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	50	1937-01-19 12:00:00	EST	Yes	LBP	USGS	3.24	128	Fair	0.52	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	128	36.0	73.7	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	51	1937-01-19 13:15:00	EST	Yes	LBP	USGS	3.62	184	Fair	0.17	1.00	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	184	37.0	93.7	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	52	1937-01-19 14:30:00	EST	Yes	LBP	USGS	3.74	202	Fair	0.02	1.00	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	202	37.0	100	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	53	1937-03-02 09:05:00	EST	Yes	LBP	USGS	2.33	445	Good	0.00	1.30	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	445	32.0	38.8	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	54	1937-04-19 08:50:00	EST	Yes	LBP	USGS	2.20	345	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	345	31.0	32.4	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	55	1937-04-27 12:10:00	EDT	Yes	LBP	USGS	4.75	393	Fair	-0.30	0.90	Unspecifed	NONE	1	Imported Channel 1	CRAN	unspe	unkno	393	39.0	158	2.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
